wo_id,customer_id,facility_id,system_id,created_date,priority,status,owner,title,description,resolved_date,resolution_notes,estimated_cost_usd,actual_cost_usd
WO-0137,CUST-0004,F-0005,SYS-0014,2026-06-11,P3,resolved,Rosa Camacho,Chemical containment pallet swap,"Containment pallet cracked, replace.",2026-06-25,Completed as described.,150,150
WO-0138,CUST-0014,F-0016,SYS-0042,2026-06-12,P2,closed,Jenn Fowler,Biocide pump rebuild,Diaphragm worn. Rebuild kit.,2026-07-03,Completed as described.,210,244
WO-0139,CUST-0005,F-0006,SYS-0019,2026-06-12,P3,open,Marcus Webb,Investigate closed loop water loss,"Process heating loop taking roughly 2,000 gal/week makeup. No visible leak in mechanical room or trench. Suspect underground section near loading dock. Recommend leak locate service and excavation quote.",,,4800,
WO-0140,CUST-0018,F-0020,SYS-0049,2026-06-17,P3,open,Tomas Rivera,Evap condenser spray nozzle replacement,"Several spray nozzles eroded, uneven coverage. Parts on order from OEM.",,,900,
WO-0141,CUST-0020,F-0023,,2026-06-23,P3,closed,Rosa Camacho,Tower fill inspection,Inspect fill for scale and fouling during shutdown.,2026-06-23,Completed as described.,,
WO-0142,CUST-0006,F-0007,SYS-0022,2026-06-24,P2,resolved,Dale Hardy,Low sulfite / dosing pump fault,"Hotel reports boiler alarm. 6/26 callout found sulfite at 3 ppm and dosing pump not delivering. Temporary manual dose, parts ordered.",2026-07-08,"Replaced dosing pump head, primed, verified feed at rated stroke.",450,612
WO-0143,CUST-0015,F-0017,SYS-0044,2026-06-25,P2,closed,Dale Hardy,Softener resin cleaning,"Iron-fouled resin, clean with resin cleaner and verify capacity.",2026-06-28,Completed as described.,350,382
WO-0144,CUST-0022,F-0025,SYS-0054,2026-06-30,P2,resolved,Marcus Webb,Tower fill inspection,Inspect fill for scale and fouling during shutdown.,2026-07-21,Completed as described.,,
WO-0145,CUST-0005,F-0006,SYS-0020,2026-07-04,P3,closed,Tomas Rivera,Chemical containment pallet swap,"Containment pallet cracked, replace.",2026-07-09,Completed as described.,150,225
WO-0146,CUST-0004,F-0005,,2026-07-07,P2,closed,Rosa Camacho,Coordinate BMS controller replacement,Customer vendor replacing tower BMS controller 7/14. Coordinate access and post-swap checks.,2026-07-14,Controller replaced by customer vendor. Comms verified.,,
WO-0147,CUST-0010,F-0012,SYS-0032,2026-07-27,P2,in_progress,Marcus Webb,HP boiler annual inspection prep,"Prepare HP boiler #1 for state inspection: layup chemistry, manway gaskets, logs.",,,1500,
WO-0148,CUST-0001,F-0001,SYS-0001,2026-08-03,P3,resolved,Jenn Fowler,Repair heat trace on chemical line,Heat trace failed section near door.,2026-08-24,Completed as described.,300,300
WO-0149,CUST-0013,F-0015,,2026-08-06,P2,open,Dale Hardy,Tower fill inspection,Inspect fill for scale and fouling during shutdown.,,,,
WO-0150,CUST-0005,F-0006,SYS-0021,2026-08-11,P2,closed,Jenn Fowler,Biocide pump rebuild,Diaphragm worn. Rebuild kit.,2026-08-21,Completed as described.,210,281
WO-0151,CUST-0007,F-0009,SYS-0025,2026-08-21,P3,in_progress,Tomas Rivera,Replace chemical feed tubing,"Peristaltic tubing hardened, replace and prime.",,,120,
