reading_id,timestamp,system_id,collected_by,collection_method,conductivity,ph,total_hardness,m_alkalinity,chloride,free_halogen,inhibitor_ppm,iron,sulfite,nitrite,microbio_dipslide,units,notes
RD-00022,3/4/26 0:00,SYS-0015,BMS export,bms,2.77,8.8,,,,,,,,,,cond=mS/cm,
RD-00023,3/4/26 0:00,SYS-0016,BMS export,bms,2.84,,,,,,,,,,,cond=mS/cm,
RD-00024,3/4/26 0:00,SYS-0017,BMS export,bms,3.11,8.9,,,,,,,,,,cond=mS/cm,
RD-00025,2026-03-04 08:10,SYS-0021,Marcus Webb,field,3172.0,11.1,1.3,,,,,0.18,26.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00026,2026-03-04 08:10,SYS-0039,Tomas Rivera,field,2929.0,9.1,,,,,,0.35,,1072.0,,cond=uS/cm;nitrite=ppm,
RD-00027,2026-03-04 08:20,SYS-0020,Marcus Webb,field,1632.0,8.6,436.0,,191.0,0.9,7.8,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00028,2026-03-04 09:40,SYS-0027,Tomas Rivera,field,2890.0,11.2,1.2,654.0,,,,0.31,27.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00029,2026-03-04 09:45,SYS-0028,Tomas Rivera,field,1588.0,8.8,478.0,,169.0,0.7,10.5,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00030,2026-03-04 10:20,SYS-0029,Tomas Rivera,field,2828.0,9.6,,,,,284.0,0.18,,,,cond=uS/cm;moly=ppm,
RD-00031,2026-03-04 10:30,SYS-0037,Tomas Rivera,field,2684.0,11.0,0.2,617.0,,,,0.59,16.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00032,2026-03-04 11:20,SYS-0053,Kyle Bishop,field,3201.0,11.1,0.6,,,,,0.44,24.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00033,2026-03-04 12:10,SYS-0036,Tomas Rivera,field,2701.0,11.1,0.9,646.0,,,,0.61,31.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00034,2026-03-04 14:40,SYS-0019,Marcus Webb,field,3030.0,9.9,,,,,,0.45,,1050,,cond=uS/cm;nitrite=ppm,Sample drawn before re-dose.
RD-00035,2026-03-04 15:45,SYS-0038,Tomas Rivera,field,1526.0,8.4,383.0,,152.0,0.51,12.8,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00036,2026-03-04 15:45,SYS-0054,Kyle Bishop,field,2720.0,9.8,,,,,,0.13,,1022.0,,cond=uS/cm;nitrite=ppm,
RD-00037,3/5/26 0:00,SYS-0014,BMS export,bms,2.74,,,,,,,,,,,cond=mS/cm,
RD-00038,3/5/26 0:00,SYS-0015,BMS export,bms,2.79,8.9,,,,,,,,,,cond=mS/cm,
RD-00039,3/5/26 0:00,SYS-0016,BMS export,bms,2.78,,,,,,,,,,,cond=mS/cm,
RD-00040,3/5/26 0:00,SYS-0017,BMS export,bms,3.09,,,,,,,,,,,cond=mS/cm,
RD-00041,2026-03-05 08:45,SYS-0018,Jenn Fowler,field,2423.0,9.3,,,,,240.0,0.08,,,,cond=uS/cm;moly=ppm,
RD-00042,2026-03-05 09:00,SYS-0025,Dale Hardy,field,2785.0,10.9,0.5,,,,,0.23,26.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00043,2026-03-05 09:40,SYS-0017,Jenn Fowler,field,2834.0,8.9,505.0,,274.0,0.69,15.0,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00044,2026-03-05 09:45,SYS-0026,Dale Hardy,field,1258.0,8.7,23.6,,178.0,0.64,10.8,,,,,cond=uS/cm;hard=gpg;cl=ppm;inhib=ppm,
RD-00045,2026-03-05 10:10,SYS-0014,Jenn Fowler,field,2938.0,8.4,351.0,,226.0,0.5,13.5,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00046,2026-03-05 10:20,SYS-0016,Jenn Fowler,field,3017.0,8.8,375.0,,231.0,0.72,14.1,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00047,2026-03-05 10:40,SYS-0015,Jenn Fowler,field,3099.0,8.5,481.0,,176,0.32,12.6,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00048,2026-03-05 13:15,SYS-0035,Dale Hardy,field,3104.0,11.1,0.5,634.0,,,,0.3,32.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00049,3/6/26 0:00,SYS-0014,BMS export,bms,2.93,8.8,,,,,,,,,,cond=mS/cm,
RD-00050,3/6/26 0:00,SYS-0015,BMS export,bms,2.78,8.7,,,,,,,,,,cond=mS/cm,
RD-00051,3/6/26 0:00,SYS-0016,BMS export,bms,2.84,,,,,,,,,,,cond=mS/cm,
RD-00052,3/6/26 0:00,SYS-0017,BMS export,bms,2.92,8.6,,,,,,,,,,cond=mS/cm,
RD-00053,2026-03-06 09:10,SYS-0012,Kyle Bishop,field,1534.0,8.7,482.0,,123.0,0.39,11.7,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00054,2026-03-06 09:20,SYS-0011,Kyle Bishop,field,3298.0,10.9,0.6,610.0,,,,0.27,28.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00055,2026-03-06 14:15,SYS-0013,Kyle Bishop,field,2908.0,9.1,,,,,286.0,0.12,,,,cond=uS/cm;moly=ppm,
RD-00056,2026-03-06 14:45,SYS-0041,Jenn Fowler,field,2774.0,11.0,0,610.0,,,,0.39,28.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00057,2026-03-06 15:00,SYS-0042,Jenn Fowler,field,1414.0,8.2,467.0,,200.0,0.65,13.5,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00058,3/7/26 0:00,SYS-0014,BMS export,bms,2.74,8.9,,,,,,,,,,cond=mS/cm,
RD-00059,3/7/26 0:00,SYS-0015,BMS export,bms,2.93,,,,,,,,,,,cond=mS/cm,
RD-00060,3/7/26 0:00,SYS-0016,BMS export,bms,2.87,,,,,,,,,,,cond=mS/cm,
RD-00061,3/7/26 0:00,SYS-0017,BMS export,bms,2.79,,,,,,,,,,,cond=mS/cm,
RD-00062,3/8/26 0:00,SYS-0014,BMS export,bms,2.8,9.0,,,,,,,,,,cond=mS/cm,
RD-00063,3/8/26 0:00,SYS-0015,BMS export,bms,2.88,8.7,,,,,,,,,,cond=mS/cm,
RD-00064,3/8/26 0:00,SYS-0016,BMS export,bms,2.88,,,,,,,,,,,cond=mS/cm,
RD-00065,3/8/26 0:00,SYS-0017,BMS export,bms,3.03,8.9,,,,,,,,,,cond=mS/cm,
RD-00066,3/9/26 0:00,SYS-0014,BMS export,bms,3.02,,,,,,,,,,,cond=mS/cm,
RD-00067,3/9/26 0:00,SYS-0015,BMS export,bms,3.02,8.5,,,,,,,,,,cond=mS/cm,
RD-00068,3/9/26 0:00,SYS-0016,BMS export,bms,2.88,,,,,,,,,,,cond=mS/cm,
RD-00069,3/9/26 0:00,SYS-0017,BMS export,bms,2.89,8.7,,,,,,,,,,cond=mS/cm,
RD-00070,2026-03-09 08:00,SYS-0004,Jenn Fowler,field,1562.0,8.8,443.0,,163.0,0.56,14.4,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00071,2026-03-09 08:00,SYS-0034,Kyle Bishop,field,1317.0,8.6,412.0,,148.0,0.74,13.2,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00072,2026-03-09 08:10,SYS-0002,Jenn Fowler,field,2956.0,10.9,0.6,,,,,0.29,32.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00073,2026-03-09 10:10,SYS-0024,Jenn Fowler,field,2809.0,9.2,,,,,,0.24,,1055.0,,cond=uS/cm;nitrite=ppm,
RD-00074,2026-03-09 11:10,SYS-0023,Jenn Fowler,field,2932.0,11.0,0.9,683.0,,,,0.16,19.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00075,2026-03-09 12:30,SYS-0032,Kyle Bishop,field,1469.0,10.0,0.5,,,,,0.53,47.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00076,2026-03-09 12:45,SYS-0001,Jenn Fowler,field,2940.0,11.1,0.6,768.0,,,,0.34,34.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00077,2026-03-09 14:00,SYS-0003,Jenn Fowler,field,1494.0,8.3,518.0,,151.0,0.57,12.0,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00078,2026-03-09 14:30,SYS-0005,Jenn Fowler,field,3069.0,9.6,,,,,,0.04,,1021.0,,cond=uS/cm;nitrite=ppm,
RD-00079,2026-03-09 15:50,SYS-0033,Kyle Bishop,field,1489.0,10.2,0,251.0,,,,0.35,36.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00080,3/10/26 0:00,SYS-0014,BMS export,bms,2.93,8.6,,,,,,,,,,cond=mS/cm,
RD-00081,3/10/26 0:00,SYS-0015,BMS export,bms,2.96,8.8,,,,,,,,,,cond=mS/cm,
RD-00082,3/10/26 0:00,SYS-0016,BMS export,bms,2.81,8.8,,,,,,,,,,cond=mS/cm,
RD-00083,3/10/26 0:00,SYS-0017,BMS export,bms,3.08,8.9,,,,,,,,,,cond=mS/cm,
RD-00084,2026-03-10 08:10,SYS-0008,Marcus Webb,field,2781.0,9.7,,,,,,0.09,,1034.0,,cond=uS/cm;nitrite=ppm,
RD-00085,2026-03-10 08:15,SYS-0007,Marcus Webb,field,1726.0,8.7,545.0,,254.0,0.67,8.8,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00086,2026-03-10 08:15,SYS-0043,Marcus Webb,field,1635.0,8.7,403.0,,112.0,0.56,9.0,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00087,2026-03-10 09:40,SYS-0044,Marcus Webb,field,2465.0,9.2,,,,,220.0,0.26,,,,cond=uS/cm;moly=ppm,
RD-00088,2026-03-10 10:00,BONF-CLF-B1,Central Analytical,lab,2.89,11.32,0.3,720,211,,,0.58,,,,cond=mS/cm;hard=ppm CaCO3;alk=ppm CaCO3;cl=ppm,Certified lab analysis.
RD-00089,2026-03-10 10:00,BONF-OGD-B2,Central Analytical,lab,2.84,10.99,1.2,664,120,,,0.2,,,,cond=mS/cm;hard=ppm CaCO3;alk=ppm CaCO3;cl=ppm,Certified lab analysis.
RD-00090,2026-03-10 10:00,CLPK-B1,Central Analytical,lab,3.27,10.86,0.7,519,262,,,0.24,,,,cond=mS/cm;hard=ppm CaCO3;alk=ppm CaCO3;cl=ppm,Certified lab analysis.
RD-00091,2026-03-10 10:00,MRMC-B1,Central Analytical,lab,3.04,11.35,0.5,604,250,,,0.55,,,,cond=mS/cm;hard=ppm CaCO3;alk=ppm CaCO3;cl=ppm,Certified lab analysis.
RD-00092,2026-03-10 10:00,SALT-HP1,Central Analytical,lab,1.24,10.09,0.7,327,164,,,0.56,,,,cond=mS/cm;hard=ppm CaCO3;alk=ppm CaCO3;cl=ppm,Certified lab analysis.
RD-00093,2026-03-10 10:00,SALT-HP2,Central Analytical,lab,1.21,10.24,0.8,328,154,,,0.15,,,,cond=mS/cm;hard=ppm CaCO3;alk=ppm CaCO3;cl=ppm,Certified lab analysis.
RD-00094,2026-03-10 10:50,SYS-0051,Dale Hardy,field,2724.0,11.2,1.1,687.0,,,,0.29,31.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00095,2026-03-10 15:10,SYS-0045,Marcus Webb,field,,,0.3,,,,,,,,,hard=ppm CaCO3,
RD-00096,2026-03-10 15:45,SYS-0006,Marcus Webb,field,2652.0,11.0,0.2,623.0,,,,0.35,26.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00097,3/11/26 0:00,SYS-0014,BMS export,bms,2.8,8.5,,,,,,,,,,cond=mS/cm,
RD-00098,3/11/26 0:00,SYS-0015,BMS export,bms,2.8,8.9,,,,,,,,,,cond=mS/cm,
RD-00099,3/11/26 0:00,SYS-0016,BMS export,bms,3.02,,,,,,,,,,,cond=mS/cm,
RD-00100,3/11/26 0:00,SYS-0017,BMS export,bms,2.88,8.5,,,,,,,,,,cond=mS/cm,
RD-00101,2026-03-11 11:45,SYS-0029,Tomas Rivera,field,2455.0,9.4,,,,,239.0,0.25,,,,cond=uS/cm;moly=ppm,
RD-00102,2026-03-11 13:10,SYS-0028,Tomas Rivera,field,1516.0,8.2,340.0,,184.0,0.83,8.7,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00103,2026-03-11 13:40,SYS-0027,Tomas Rivera,field,3078.0,10.9,1.3,,,,,0.15,31.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00104,3/12/26 0:00,SYS-0014,BMS export,bms,2.85,,,,,,,,,,,cond=mS/cm,
RD-00105,3/12/26 0:00,SYS-0015,BMS export,bms,2.86,8.5,,,,,,,,,,cond=mS/cm,
RD-00106,3/12/26 0:00,SYS-0016,BMS export,bms,2.87,8.9,,,,,,,,,,cond=mS/cm,
RD-00107,3/12/26 0:00,SYS-0017,BMS export,bms,3.17,8.6,,,,,,,,,,cond=mS/cm,
RD-00108,2026-03-12 08:20,SYS-0031,Dale Hardy,field,1633.0,8.7,18.8,,196.0,0.37,11.7,,,,,cond=uS/cm;hard=gpg;cl=ppm;inhib=ppm,
RD-00109,2026-03-12 11:15,SYS-0016,Jenn Fowler,field,3161.0,8.5,411.0,,239.0,0.53,14.4,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00110,2026-03-12 11:30,SYS-0015,Jenn Fowler,field,2924.0,8.9,425.0,,189,0.57,15.4,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00111,2026-03-12 11:40,SYS-0014,Jenn Fowler,field,2931.0,9.0,387.0,,263.0,0.63,13.4,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00112,2026-03-12 13:10,SYS-0018,Jenn Fowler,field,2562.0,9.6,,,,,231.0,0.23,,,,cond=uS/cm;moly=ppm,
RD-00113,2026-03-12 14:50,SYS-0030,Dale Hardy,field,2683.0,9.4,,,,,,0.27,,908.0,,cond=uS/cm;nitrite=ppm,
RD-00114,2026-03-12 15:10,SYS-0017,Jenn Fowler,field,2890.0,8.6,368.0,,211.0,0.4,13.0,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00115,3/13/26 0:00,SYS-0014,BMS export,bms,2.92,8.9,,,,,,,,,,cond=mS/cm,
RD-00116,3/13/26 0:00,SYS-0015,BMS export,bms,2.9,8.8,,,,,,,,,,cond=mS/cm,
RD-00117,3/13/26 0:00,SYS-0016,BMS export,bms,2.82,,,,,,,,,,,cond=mS/cm,
RD-00118,3/13/26 0:00,SYS-0017,BMS export,bms,2.98,8.8,,,,,,,,,,cond=mS/cm,
RD-00119,2026-03-13 09:40,SYS-0011,Kyle Bishop,field,3020.0,11.1,0.2,552.0,,,,0.26,32.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00120,2026-03-13 10:50,SYS-0012,Kyle Bishop,field,1433.0,8.7,482.0,,180.0,0.56,10.7,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00121,2026-03-13 13:15,SYS-0042,Jenn Fowler,field,1503.0,8.8,399.0,,229.0,0.62,7.2,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00122,2026-03-13 14:40,SYS-0041,Jenn Fowler,field,2858.0,10.9,0.9,625.0,,,,0.3,29.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00123,2026-03-13 15:30,SYS-0013,Kyle Bishop,field,3213.0,10.0,,,,,294.0,0.23,,,,cond=uS/cm;moly=ppm,
RD-00124,3/14/26 0:00,SYS-0014,BMS export,bms,2.76,,,,,,,,,,,cond=mS/cm,
RD-00125,3/14/26 0:00,SYS-0015,BMS export,bms,2.91,,,,,,,,,,,cond=mS/cm,
RD-00126,3/14/26 0:00,SYS-0016,BMS export,bms,2.99,,,,,,,,,,,cond=mS/cm,
RD-00127,3/14/26 0:00,SYS-0017,BMS export,bms,2.95,8.8,,,,,,,,,,cond=mS/cm,
RD-00128,3/15/26 0:00,SYS-0014,BMS export,bms,2.81,8.9,,,,,,,,,,cond=mS/cm,
RD-00129,3/15/26 0:00,SYS-0015,BMS export,bms,2.88,,,,,,,,,,,cond=mS/cm,
RD-00130,3/15/26 0:00,SYS-0016,BMS export,bms,2.88,8.8,,,,,,,,,,cond=mS/cm,
RD-00131,3/15/26 0:00,SYS-0017,BMS export,bms,2.92,8.4,,,,,,,,,,cond=mS/cm,
RD-00132,3/16/26 0:00,SYS-0014,BMS export,bms,2.94,8.7,,,,,,,,,,cond=mS/cm,
RD-00133,3/16/26 0:00,SYS-0015,BMS export,bms,2.77,,,,,,,,,,,cond=mS/cm,
RD-00134,3/16/26 0:00,SYS-0016,BMS export,bms,2.95,,,,,,,,,,,cond=mS/cm,
RD-00135,3/16/26 0:00,SYS-0017,BMS export,bms,2.97,8.7,,,,,,,,,,cond=mS/cm,
RD-00136,2026-03-16 09:20,SYS-0004,Jenn Fowler,field,1560.0,8.6,431.0,,211.0,0.97,9.4,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00137,2026-03-16 09:20,SYS-0005,Jenn Fowler,field,2499.0,9.3,,,,,,0.32,,1052.0,,cond=uS/cm;nitrite=ppm,
RD-00138,2026-03-16 10:50,SYS-0002,Jenn Fowler,field,3052.0,11.0,0.9,645.0,,,,0.35,30.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00139,2026-03-16 12:10,SYS-0001,Jenn Fowler,field,2944.0,11.0,0.8,,,,,0.05,28.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00140,2026-03-16 12:30,SYS-0003,Jenn Fowler,field,1578.0,8.5,359.0,,121.0,0.66,10.8,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00141,2026-03-16 12:40,SYS-0040,Dale Hardy,field,2875.0,11.2,0.3,658.0,,,,0.22,29.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00142,2026-03-16 12:45,SYS-0052,Kyle Bishop,field,3161.0,11.2,0.5,547.0,,,,0.25,29.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00143,3/17/26 0:00,SYS-0014,BMS export,bms,2.91,8.7,,,,,,,,,,cond=mS/cm,
RD-00144,3/17/26 0:00,SYS-0015,BMS export,bms,2.89,,,,,,,,,,,cond=mS/cm,
RD-00145,3/17/26 0:00,SYS-0016,BMS export,bms,2.97,,,,,,,,,,,cond=mS/cm,
RD-00146,3/17/26 0:00,SYS-0017,BMS export,bms,3.01,8.5,,,,,,,,,,cond=mS/cm,
RD-00147,2026-03-17 08:20,SYS-0008,Marcus Webb,field,3369.0,9.8,,,,,,0.08,,1091.0,,cond=uS/cm;nitrite=ppm,
RD-00148,2026-03-17 08:50,SYS-0009,Marcus Webb,field,2864.0,10.9,0.3,665.0,,,,0.12,25.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00149,2026-03-17 11:30,SYS-0010,Marcus Webb,field,1581.0,8.6,385.0,,230.0,0.88,11.4,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00150,2026-03-17 14:10,SYS-0006,Marcus Webb,field,3124.0,11.1,0.7,624.0,,,,0.29,26.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00151,2026-03-17 14:10,SYS-0007,Marcus Webb,field,1384.0,8.4,367.0,,104.0,0.33,10.8,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00152,3/18/26 0:00,SYS-0014,BMS export,bms,2.86,8.9,,,,,,,,,,cond=mS/cm,
RD-00153,3/18/26 0:00,SYS-0015,BMS export,bms,2.99,8.7,,,,,,,,,,cond=mS/cm,
RD-00154,3/18/26 0:00,SYS-0016,BMS export,bms,2.99,8.7,,,,,,,,,,cond=mS/cm,
RD-00155,3/18/26 0:00,SYS-0017,BMS export,bms,2.91,8.8,,,,,,,,,,cond=mS/cm,
RD-00156,2026-03-18 08:10,SYS-0029,Tomas Rivera,field,2402.0,9.8,,,,,270.0,0.2,,,,cond=uS/cm;moly=ppm,
RD-00157,2026-03-18 08:15,SYS-0037,Tomas Rivera,field,2536.0,11.0,0.1,,,,,0.39,31.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00158,2026-03-18 11:20,SYS-0036,Tomas Rivera,field,2872.0,11.4,1.3,718.0,,,,0.21,24.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00159,2026-03-18 11:50,SYS-0019,Marcus Webb,field,3029.0,9.6,,,,,,0.34,,980,,cond=uS/cm;nitrite=ppm,Sample drawn before re-dose.
RD-00160,2026-03-18 12:10,SYS-0021,Marcus Webb,field,2798.0,11.2,0.8,621.0,,,,0.22,32.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00161,2026-03-18 12:20,SYS-0039,Tomas Rivera,field,2864.0,9.3,,,,,,0.02,,1104.0,,cond=uS/cm;nitrite=ppm,
RD-00162,2026-03-18 13:00,SYS-0038,Tomas Rivera,field,1719.0,8.7,428.0,,150.0,0.66,9.3,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00163,2026-03-18 13:45,SYS-0028,Tomas Rivera,field,1603.0,8.4,446.0,,210.0,0.47,11.3,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00164,2026-03-18 14:10,SYS-0027,Tomas Rivera,field,3102.0,10.9,0.6,,,,,0.17,33.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00165,2026-03-18 15:40,SYS-0020,Marcus Webb,field,1390.0,8.5,409.0,,192.0,0.58,9.6,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00166,3/19/26 0:00,SYS-0014,BMS export,bms,2.9,8.8,,,,,,,,,,cond=mS/cm,
RD-00167,3/19/26 0:00,SYS-0015,BMS export,bms,2.94,,,,,,,,,,,cond=mS/cm,
RD-00168,3/19/26 0:00,SYS-0016,BMS export,bms,2.91,,,,,,,,,,,cond=mS/cm,
RD-00169,3/19/26 0:00,SYS-0017,BMS export,bms,2.85,8.5,,,,,,,,,,cond=mS/cm,
