visit_id,visit_date,technician,customer_id,facility_id,systems_serviced,work_performed,chemicals_added,visit_status,follow_up_date,observations
V-0013,2026-03-06,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal,completed,2026-03-20,
V-0014,2026-03-06,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal,completed,,Housekeeping around feed area needs attention.
V-0015,2026-03-09,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BRM-40 5 lb; CT-770 4 gal; BRM-40 5 lb,completed,,Left updated log sheet with operator.
V-0016,2026-03-09,Jenn Fowler,CUST-0006,F-0008,SYS-0023;SYS-0024,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 3 gal; BW-305 1 gal; CL-40 2 gal,completed,,
V-0017,2026-03-09,Kyle Bishop,CUST-0010,F-0012,SYS-0032;SYS-0033;SYS-0034,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BRM-40 5 lb,completed,,Left updated log sheet with operator.
V-0018,2026-03-10,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BRM-40 5 lb; CL-40 2 gal,completed,,
V-0019,2026-03-10,Marcus Webb,CUST-0015,F-0017,SYS-0043;SYS-0044;SYS-0045,"Full site service: tested tower, adjusted bleed setpoint, dosed treatment",CT-770 3 gal; BRM-40 5 lb; CL-M40 1 gal,completed,,No issues noted.
V-0020,2026-03-10,Dale Hardy,CUST-0020,F-0023,SYS-0051,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 2 gal; AM-115 1 qt,completed,,
V-0021,2026-03-11,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BRM-40 5 lb,completed,,
V-0022,2026-03-12,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: tower water tests, dosed inhibitor and biocide, checked bleed valve",CT-785 5 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb; CL-M40 1 gal,completed,,Left updated log sheet with operator.
V-0023,2026-03-12,Dale Hardy,CUST-0009,F-0011,SYS-0030;SYS-0031,Loop sample and inhibitor top-up as needed,CL-40 2 gal; CT-770 6 gal; BRM-40 5 lb,completed,,Chemical pumps primed and verified.
V-0024,2026-03-13,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 2 gal; CT-770 5 gal; BRM-40 5 lb; CL-M40 1 gal,completed,,"Bleed valve cycled manually, operating normally."
V-0025,2026-03-13,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 3 gal; BW-305 1 gal; CT-770 6 gal; BRM-40 5 lb,completed,,
V-0026,2026-03-16,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 1 gal; BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal; CT-770 3 gal; BIO-12 1 gal,completed,,Left updated log sheet with operator.
V-0027,2026-03-16,Dale Hardy,CUST-0013,F-0015,SYS-0040,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 1 gal; BW-305 1 gal,completed,,
V-0028,2026-03-16,Kyle Bishop,CUST-0021,F-0024,SYS-0052,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt,completed,,Chemical pumps primed and verified.
V-0029,2026-03-17,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal,completed,,No issues noted.
V-0030,2026-03-17,Marcus Webb,CUST-0002,F-0003,SYS-0009;SYS-0010,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal,completed,2026-03-24,
V-0031,2026-03-17,Jenn Fowler,CUST-0017,F-0019,,,,missed - rescheduled,,Rescheduled with site contact.
V-0032,2026-03-18,Marcus Webb,CUST-0005,F-0006,SYS-0019;SYS-0020;SYS-0021,"Full site service: tested loop, checked pot feeder, dosed inhibitor",CL-40 5 gal; CT-770 4 gal; BIO-12 1 gal; BW-210 1 gal; BW-305 1 gal,completed,2026-04-01,
V-0033,2026-03-18,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal,completed,,
V-0034,2026-03-18,Tomas Rivera,CUST-0012,F-0014,SYS-0036;SYS-0037;SYS-0038;SYS-0039,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; BW-210 3 gal; BW-305 2 gal; CT-770 5 gal; BIO-12 1 gal,completed,,No issues noted.
V-0035,2026-03-19,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: tower water tests, dosed inhibitor and biocide, checked bleed valve",CT-785 4 gal; BIO-12 1 gal; CT-785 5 gal; BIO-12 1 gal; CT-785 4 gal; BIO-12 1 gal; CT-785 3 gal; BIO-12 1 gal,completed,,"Site contact unavailable, report left at office."
V-0036,2026-03-19,Dale Hardy,CUST-0007,F-0009,SYS-0025;SYS-0026,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal,completed,2026-04-02,
V-0037,2026-03-19,Dale Hardy,CUST-0016,F-0018,SYS-0046,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt,completed,,"Bleed valve cycled manually, operating normally."
V-0038,2026-03-20,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,Housekeeping around feed area needs attention.
V-0039,2026-03-20,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 3 gal; BW-305 2 gal; CT-770 5 gal; BIO-12 1 gal,completed,,
V-0040,2026-03-23,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BRM-40 5 lb; CT-770 6 gal; BRM-40 5 lb,completed,,No issues noted.
V-0041,2026-03-23,Kyle Bishop,CUST-0010,F-0012,SYS-0032;SYS-0033;SYS-0034,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,,"Site contact unavailable, report left at office."
V-0042,2026-03-24,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 2 gal; CT-770 4 gal; BRM-40 5 lb,completed,,No issues noted.
V-0043,2026-03-24,Marcus Webb,CUST-0015,F-0017,SYS-0043;SYS-0044;SYS-0045,"Full site service: tested tower, adjusted bleed setpoint, dosed treatment",CT-770 4 gal; BRM-40 5 lb,completed,,"Bleed valve cycled manually, operating normally."
V-0044,2026-03-25,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; CT-770 5 gal; BRM-40 5 lb,completed,,Housekeeping around feed area needs attention.
V-0045,2026-03-25,Tomas Rivera,CUST-0018,F-0020,SYS-0049;SYS-0050,"Routine condenser service: tests, biocide, basin inspection",CT-770 6 gal; BRM-40 5 lb; CT-770 5 gal; BRM-40 5 lb,completed,,
V-0046,2026-03-26,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: tested tower, adjusted bleed setpoint, dosed treatment",CT-785 4 gal; BRM-40 5 lb; CT-785 4 gal; BRM-40 5 lb; CT-785 6 gal; BRM-40 5 lb; CT-785 3 gal; BRM-40 5 lb; CL-M40 1 gal,completed,,"Bleed valve cycled manually, operating normally."
V-0047,2026-03-27,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 3 gal; BW-305 2 gal; CT-770 3 gal; BRM-40 5 lb,completed,,Left updated log sheet with operator.
V-0048,2026-03-27,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,,
V-0049,2026-03-30,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 1 gal; BW-305 2 gal; BW-210 2 gal; BW-305 2 gal; CT-770 5 gal; BIO-12 1 gal; CT-770 6 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,"Bleed valve cycled manually, operating normally."
V-0050,2026-03-30,Dale Hardy,CUST-0013,F-0015,SYS-0040,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt,completed,,
V-0051,2026-03-31,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 2 gal; CT-770 5 gal; BIO-12 1 gal,completed,2026-04-07,All parameters in range.
V-0052,2026-03-31,Marcus Webb,CUST-0002,F-0021,SYS-0009;SYS-0010,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal,completed,,Left updated log sheet with operator.
V-0053,2026-04-01,Marcus Webb,CUST-0005,F-0006,SYS-0019;SYS-0020;SYS-0021,Full site service: loop sample and inhibitor top-up as needed,CL-40 6 gal; CT-770 5 gal; BIO-12 1 gal; BW-210 2 gal; BW-305 2 gal; AM-115 1 qt,completed,,All parameters in range.
V-0054,2026-04-01,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; CT-770 4 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,Chemical pumps primed and verified.
V-0055,2026-04-01,Tomas Rivera,CUST-0012,F-0014,SYS-0036;SYS-0037;SYS-0038;SYS-0039,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal,completed,,No issues noted.
V-0056,2026-04-01,Kyle Bishop,CUST-0022,F-0025,SYS-0053;SYS-0054,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; CL-40 2 gal,completed,2026-04-15,Left updated log sheet with operator.
V-0057,2026-04-02,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: routine tower service: tests, biocide rotation, sump inspection",CT-785 5 gal; BIO-12 1 gal; CT-785 5 gal; BIO-12 1 gal; CT-785 3 gal; BIO-12 1 gal; CT-785 5 gal; BIO-12 1 gal,completed,,
V-0058,2026-04-02,Dale Hardy,CUST-0007,F-0009,SYS-0025;SYS-0026,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BIO-12 1 gal,completed,,No issues noted.
V-0059,2026-04-02,Dale Hardy,CUST-0011,F-0013,SYS-0035,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 2 gal,completed,,All parameters in range.
V-0060,2026-04-03,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal,completed,2026-05-03,Chemical pumps primed and verified.
V-0061,2026-04-03,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal,completed,,Housekeeping around feed area needs attention.
V-0062,2026-04-06,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 1 gal; BW-305 2 gal; BW-210 1 gal; BW-305 2 gal; AM-115 1 qt; CT-770 4 gal; BRM-40 5 lb; CT-770 5 gal; BRM-40 5 lb,completed,,
V-0063,2026-04-06,Dale Hardy,CUST-0006,F-0007,SYS-0022,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt,completed,,
V-0064,2026-04-06,Kyle Bishop,CUST-0010,F-0012,SYS-0032;SYS-0033;SYS-0034,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 1 gal; BW-305 2 gal; AM-115 1 qt; BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 3 gal; BRM-40 5 lb,completed,,Left updated log sheet with operator.
V-0065,2026-04-07,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BRM-40 5 lb,completed,2026-05-07,
V-0066,2026-04-07,Marcus Webb,CUST-0015,F-0017,SYS-0043;SYS-0044;SYS-0045,"Full site service: tested tower, adjusted bleed setpoint, dosed treatment",CT-770 5 gal; BRM-40 5 lb,completed,,No issues noted.
V-0067,2026-04-08,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BRM-40 5 lb,completed,,
V-0068,2026-04-09,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: tower water tests, dosed inhibitor and biocide, checked bleed valve",CT-785 5 gal; BRM-40 5 lb; CT-785 3 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb; CT-785 4 gal; BRM-40 5 lb,completed,,Housekeeping around feed area needs attention.
V-0069,2026-04-09,Dale Hardy,CUST-0009,F-0011,SYS-0030;SYS-0031,"Tested loop, checked pot feeder, dosed inhibitor",CL-40 1 gal; CT-770 4 gal; BRM-40 5 lb,completed,,No issues noted.
V-0070,2026-04-10,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BRM-40 5 lb,completed,,"Bleed valve cycled manually, operating normally."
V-0071,2026-04-10,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; CT-770 5 gal; BRM-40 5 lb,completed,,"Site contact unavailable, report left at office."
V-0072,2026-04-13,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal; CT-770 6 gal; BIO-12 1 gal,completed,,All parameters in range.
V-0073,2026-04-13,Jenn Fowler,CUST-0006,F-0008,SYS-0023;SYS-0024,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt,completed,2026-04-20,"Site contact unavailable, report left at office."
V-0074,2026-04-13,Dale Hardy,CUST-0013,F-0015,SYS-0040,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt,completed,,
V-0075,2026-04-14,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BIO-12 1 gal; CL-40 2 gal,completed,,Housekeeping around feed area needs attention.
V-0076,2026-04-14,Marcus Webb,CUST-0002,F-0003,SYS-0009;SYS-0010,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; CT-770 4 gal; BIO-12 1 gal,completed,,
V-0077,2026-04-14,Dale Hardy,CUST-0020,F-0023,SYS-0051,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt,completed,,"Bleed valve cycled manually, operating normally."
V-0078,2026-04-15,Marcus Webb,CUST-0005,F-0006,SYS-0019;SYS-0020;SYS-0021,Full site service: loop sample and inhibitor top-up as needed,CL-40 7 gal; CT-770 5 gal; BIO-12 1 gal; BW-210 3 gal; BW-305 1 gal; AM-115 1 qt,completed,,
V-0079,2026-04-15,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,Left updated log sheet with operator.
V-0080,2026-04-15,Tomas Rivera,CUST-0012,F-0014,SYS-0036;SYS-0037;SYS-0038;SYS-0039,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 3 gal; BW-305 1 gal; BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 3 gal; BIO-12 1 gal; CL-40 2 gal,completed,,
V-0081,2026-04-16,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: tower water tests, dosed inhibitor and biocide, checked bleed valve",CT-785 6 gal; BIO-12 1 gal; CT-785 5 gal; BIO-12 1 gal; CT-785 5 gal; BIO-12 1 gal; CT-785 5 gal; BIO-12 1 gal,completed,,Left updated log sheet with operator.
V-0082,2026-04-16,Dale Hardy,CUST-0016,F-0018,SYS-0046,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal,completed,2026-04-30,All parameters in range.
V-0083,2026-04-16,Dale Hardy,CUST-0019,F-0022,SYS-0025;SYS-0026,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal,completed,,"Bleed valve cycled manually, operating normally."
V-0084,2026-04-17,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal,completed,,All parameters in range.
V-0085,2026-04-17,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal,completed,,"Site contact unavailable, report left at office."
V-0086,2026-04-20,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb; CT-770 3 gal; BRM-40 5 lb,completed,,No issues noted.
V-0087,2026-04-20,Kyle Bishop,CUST-0010,F-0012,SYS-0032;SYS-0033;SYS-0034,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 4 gal; BRM-40 5 lb,completed,,Chemical pumps primed and verified.
V-0088,2026-04-20,Kyle Bishop,CUST-0021,F-0024,SYS-0052,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt,completed,,No issues noted.
V-0089,2026-04-21,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb; CL-40 2 gal,completed,,"Site contact unavailable, report left at office."
V-0090,2026-04-21,Marcus Webb,CUST-0015,F-0017,SYS-0043;SYS-0044;SYS-0045,"Full site service: tower water tests, dosed inhibitor and biocide, checked bleed valve",CT-770 5 gal; BRM-40 5 lb; CL-M40 1 gal,completed,,
V-0091,2026-04-21,Jenn Fowler,CUST-0017,F-0019,SYS-0047;SYS-0048,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BRM-40 5 lb,completed,,
V-0092,2026-04-22,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,2026-04-29,
V-0093,2026-04-22,Tomas Rivera,CUST-0018,F-0020,SYS-0049;SYS-0050,"Condenser water tests, dosed treatment, checked spray coverage",CT-770 5 gal; BRM-40 5 lb; CT-770 4 gal; BRM-40 5 lb,completed,,All parameters in range.
